Commune	Canton	District	Population
Beaufort	Echternach	Grevenmacher	2,18
Bech	Echternach	Grevenmacher	1,076
Beckerich	Redange	Diekirch	2,307
Berdorf	Echternach	Grevenmacher	1,695
Bertrange	Luxembourg	Luxembourg	6,446
Bettembourg	Esch-sur-Alzette	Luxembourg	9,809
Bettendorf	Diekirch	Diekirch	2,493
Betzdorf	Grevenmacher	Grevenmacher	3,258
Bissen	Mersch	Luxembourg	2,745
Biwer	Grevenmacher	Grevenmacher	1,638
Boevange-sur-Attert	Mersch	Luxembourg	2
Boulaide	Wiltz	Diekirch	964
Bourscheid	Diekirch	Diekirch	1,359
Bous	Remich	Grevenmacher	1,372
Clervaux	Clervaux	Diekirch	4,564
Colmar-Berg	Mersch	Luxembourg	1,954
Consdorf	Echternach	Grevenmacher	1,813
Contern	Luxembourg	Luxembourg	3,49
Dalheim	Remich	Grevenmacher	2,014
Diekirch	Diekirch	Diekirch	6,413
Differdange	Esch-sur-Alzette	Luxembourg	21,869
Dippach	Capellen	Luxembourg	3,564
Dudelange	Esch-sur-Alzette	Luxembourg	18,657
Echternach	Echternach	Grevenmacher	4,96
Ell	Redange	Diekirch	1,125
Erpeldange	Diekirch	Diekirch	2,248
Esch-sur-Alzette	Esch-sur-Alzette	Luxembourg	30,63
Esch-sur-Sure	Wiltz	Diekirch	324
Eschweiler	Wiltz	Diekirch	832
Ettelbruck	Diekirch	Diekirch	7,837
Feulen	Diekirch	Diekirch	1,574
Fischbach	Mersch	Luxembourg	869
Flaxweiler	Grevenmacher	Grevenmacher	1,758
Frisange	Esch-sur-Alzette	Luxembourg	3,778
Garnich	Capellen	Luxembourg	1,802
Goesdorf	Wiltz	Diekirch	1,27
Grevenmacher	Grevenmacher	Grevenmacher	4,347
Grosbous	Redange	Diekirch	878
Heffingen	Mersch	Luxembourg	1,052
Hesperange	Luxembourg	Luxembourg	13,411
Hobscheid	Capellen	Luxembourg	3,079
Junglinster	Grevenmacher	Grevenmacher	6,524
K�rjeng	Capellen	Luxembourg	9,722
Kayl	Esch-sur-Alzette	Luxembourg	7,918
Kehlen	Capellen	Luxembourg	5,038
Kiischpelt	Wiltz	Diekirch	965
Koerich	Capellen	Luxembourg	2,164
Kopstal	Capellen	Luxembourg	3,17
Lac de la Haute-Sure	Wiltz	Diekirch	1,545
Larochette	Mersch	Luxembourg	2,016
Lenningen	Remich	Grevenmacher	1,722
Leudelange	Esch-sur-Alzette	Luxembourg	2,151
Lintgen	Mersch	Luxembourg	2,567
Lorentzweiler	Mersch	Luxembourg	3,438
Luxembourg	Luxembourg	Luxembourg	94,034
Mamer	Capellen	Luxembourg	7,687
Manternach	Grevenmacher	Grevenmacher	1,741
Mersch	Mersch	Luxembourg	7,848
Mertert	Grevenmacher	Grevenmacher	3,73
Mertzig	Diekirch	Diekirch	1,748
Mompach	Echternach	Grevenmacher	1,055
Mondercange	Esch-sur-Alzette	Luxembourg	6,227
Mondorf-les-Bains	Remich	Grevenmacher	4,608
Niederanven	Luxembourg	Luxembourg	5,459
Nommern	Mersch	Luxembourg	1,144
Parc Hosingen	Clervaux	Diekirch	3,083
Petange	Esch-sur-Alzette	Luxembourg	15,971
Preizerdaul	Redange	Diekirch	1,398
Putscheid	Vianden	Diekirch	974
Rambrouch	Redange	Diekirch	3,903
Reckange-sur-Mess	Esch-sur-Alzette	Luxembourg	2,098
Redange	Redange	Diekirch	2,554
Reisdorf	Diekirch	Diekirch	1,058
Remich	Remich	Grevenmacher	3,345
Roeser	Esch-sur-Alzette	Luxembourg	5,269
Rosport	Echternach	Grevenmacher	2,073
Rumelange	Esch-sur-Alzette	Luxembourg	5,066
Saeul	Redange	Diekirch	697
Sandweiler	Luxembourg	Luxembourg	3,194
Sanem	Esch-sur-Alzette	Luxembourg	14,545
Schengen	Remich	Grevenmacher	1,553
Schieren	Diekirch	Diekirch	1,486
Schifflange	Esch-sur-Alzette	Luxembourg	8,653
Schuttrange	Luxembourg	Luxembourg	3,592
Septfontaines	Capellen	Luxembourg	792
Stadtbredimus	Remich	Grevenmacher	1,496
Steinfort	Capellen	Luxembourg	4,545
Steinsel	Luxembourg	Luxembourg	4,754
Strassen	Luxembourg	Luxembourg	7,385
Tandel	Vianden	Diekirch	1,747
Troisvierges	Clervaux	Diekirch	2,972
Tuntange	Mersch	Luxembourg	1,288
Useldange	Redange	Diekirch	1,508
Vallee de l'Ernz	Diekirch	Diekirch	2,375
Vianden	Vianden	Diekirch	1,692
Vichten	Redange	Diekirch	1,027
Wahl	Redange	Diekirch	846
Waldbillig	Echternach	Grevenmacher	1,438
Waldbredimus	Remich	Grevenmacher	963
Walferdange	Luxembourg	Luxembourg	7,348
Weiler-la-Tour	Luxembourg	Luxembourg	1,888
Weiswampach	Clervaux	Diekirch	1,35
Wiltz	Wiltz	Diekirch	4,977
Wincrange	Clervaux	Diekirch	3,778
Winseler	Wiltz	Diekirch	1,116
Wormeldange	Grevenmacher	Grevenmacher	2,472
