marketplace.,marketplace.,marktplatz.
Zones / Villes de distribution,Location / distribution of Cities,Lage / Verteilung der Städte
Besoin d'aide ?,Need help ?,Brauchen Sie Hilfe?
National,National,National
Nord,North,Norden
Est,East,ist
Sud,South,Süden
Centre,Center,Zentrum
compteur,counter,Meter
communes,common,gemeinsam
total,total,gesamt
Détails de la commande,details of the order,bestellen Details
Intitulé,Entitled,Uberschrift
Poids unitaire en g,Unit weight g,Einheitsgewicht g
Format,Format,Format
Autre,Other,andere
Semaine de distribution,Distribution Week,Verteilung Week
Semaine,Week,Woche
Cout total,Total cost,Gesamtkosten
Valider la commande,Validate the order,Bestellung bestätigen
Conditions de distribution : Les imprimés doivent être livrés franco de port chez Distral SA à Ehlerange (Lux) ou toute autre adresse spécifiée par nos soins,Distribution Requirements: Printed must be delivered carriage paid in Distral SA in Ehlerange (Lux) or any other address specified by us,Voraussetzungen für den Vertrieb: Gedrucktes müssen Beförderung von uns in Distral SA in Ehlerange (Lux) oder jede andere Adresse angegeben bezahlt geliefert
"Les imprimés doivent être conditionnés par paquets identiques, de même volume et de même quantité (paquets minimum de 100 exemplaires et maximum de 1000 exemplaires et ne dépassant pas 8kg). Quelle que soit la taille, les livraisons en vrac ne sont pas acceptées

","The prints must be packed in identical packages, the same volume and the same amount (minimum packet 100, and up to 1,000 copies and not more than 8kg). Whatever the size, bulk deliveries are not accepted","Die Drucke müssen in identischen Verpackungen verpackt werden, das gleiche Volumen und die gleiche Menge (Mindest Paket 100 und bis zu 1.000 Exemplare und nicht mehr als 8 kg). Unabhängig von der Grö?e, sind Bulklieferungen nicht akzeptiert"
"Les imprimés doivent être emballés de sorte que nous puissions les manipuler sans risque de les abîmer. Pour cette raison, les paquets et boîtes seront fixés fermement sur la palette

","The prints must be packed so that we can handle them without risk of damaging them. For this reason, packets and boxes will be firmly fixed on the pallet","Die Drucke müssen verpackt werden, damit wir sie ohne Gefahr der Beschädigung ihnen umgehen kann. Aus diesem Grunde Pakete und Kartons werden fest auf der Palette befestigt werden"
"Nous acceptons uniquement les zones et découpes de distribution Distral. Toute autre zone ne sera pas prise en compte. Les commandes doivent être remises au plus tard 6 jours avant la date de distribution (soit le mardi). La livraison des documents doit parvenir ? notre dépôt au plus tard le mercredi précédant la distribution. Tout retard, report ou commande annulés 24h avant la date de distribution engendrent des frais de fonctionnement.

","We only accept Distral areas and distribution of cuts. Any other area will not be considered. Orders must be submitted no later than 6 days before the distribution date (or Tuesday). The delivery documents must reach our warehouse at the latest on Wednesday before distribution. Any delay, postponement or order canceled 24 hours before the date of distribution generate operating costs.","Wir nehmen nur Distral Bereiche und die Verteilung der Kürzungen akzeptieren. Alle anderen Bereich werden nicht berücksichtigt. Bestellungen müssen nachgereicht werden nicht als 6 Tage vor dem Ausschüttungstermin (oder Dienstag). Die Lieferpapiere müssen unser Lager spätestens am Mittwoch vor der Verteilung erreichen. Jede Verzögerung, Verschiebung oder Bestellung storniert 24 Stunden vor dem Datum der Verteilung der Betriebskosten erzeugen."
"Doléances : Il est obligatoire que la doléance soit remise au plus tard dans les 5 jours ouvrables suivants la distribution avec impérativement: Le nom de la rue, le numéro, le code postal, la localité et, si possible, le nom du (de la) plaignant(e) afin que Distral SA puisse contrôler le bienfondé de la doléance et procéder à une éventuelle rectification sur le terrain.

","Grievances: It is mandatory that the complaint be filed no later than 5 working days delivery with imperatively: The name of the street, number, postal code, locality and, if possible, the name (of the ) complainant (s) so that Distral SA can control the merits of the complaint and make a possible correction on the ground.","Grievances: Es ist zwingend notwendig, dass die Beschwerde nicht mit imperativ spätestens 5 Werktage Lieferung eingereicht werden: Der Name der Stra?e, Hausnummer, Postleitzahl, Ort und, wenn möglich, der Name (der ) Beschwerdeführer (n), so dass Distral SA die Verdienste der Beschwerde steuern kann und eine mögliche Korrektur auf dem Boden machen."
Vos coordonnées,your details,Ihre Daten
Entreprise,Business,Unternehmen
Adresse,Address,Adresse
Ville,City,Stadt
Pays,Country,Land
Activite,Activity,Aktivität
Telephone,Phone,Telefon
Email,E-mail,E-Mail
TVA,VAT,Mehrwertsteuer
"TVA intracommunautaire
",VAT,Mehrwertsteuer
Valider et accéder au paiement,Validate and access to payment,Validieren und den Zugang zu Zahlungs
Valider et envoyer un email,Validate and send email,Bestätigen und senden Sie eine E-Mail
Retour en arrière,Flashback,Rückblende
Paiement en ligne,Online payment,Online-Zahlung
"Montant de la commande
",Amount of the order,Bestellmenge
N° Carte bleue,No. Credit card,Nr Kreditkarte
Date d'expiration,Expiration date,Verfallsdatum
Cryptogramme,Cryptogramme,Cryptogramme
Votre commande,Your order,Ihre Bestellung
Intitulé,Entitled,Uberschrift
Poid     ,Weight,Gewicht
Format,Format,Format
Semaine,Week,Woche
total HT,total HT,Gesamt HT
Chargement,Loading,Laden
Votre commande a été validé,Your order has been validated,Ihre Bestellung wurde validiert
Un email a été envoyer à Distral S.A,An email was sent to Distral S.A.,Eine E-Mail an Distral S.A. gesendet
Valider et payer,Validate and pay,Bestätigen und bezahlen
CGU de paiement,CGU payment,CGU-Zahlung
Portail en ligne pour la distribution de vos imprimés.,Online portal for the distribution of your prints.,Online-Portal für die Verteilung Ihrer Drucke.
helpfr,helpen,helpal
langue,language,sprache
Retrait chez le client,Withdrawal at the customer,Rücktritt beim Kunden
